"x","y","bio_flux_opt","ocn_flux_opt","fossil_flux_imp","fire_flux_imp","tot"
-179.5,89.5,0,0,1.38360055183904e-11,0,0
-178.5,89.5,0,0,1.4359364359463e-11,0,0
-177.5,89.5,0,0,1.41596822643143e-11,0,0
-176.5,89.5,0,0,1.39769246158529e-11,0,0
-175.5,89.5,0,0,1.38047491425313e-11,0,0
-174.5,89.5,0,0,1.3639359932735e-11,0,0
-173.5,89.5,0,0,1.34904918402799e-11,0,0
-172.5,89.5,0,0,1.33488583992885e-11,0,0
-171.5,89.5,0,0,1.32211095985208e-11,0,0
-170.5,89.5,0,0,1.30975138811319e-11,0,0
-169.5,89.5,0,0,1.29901282669011e-11,0,0
-168.5,89.5,0,0,1.28857769641837e-11,0,0
-167.5,89.5,0,0,1.27949575258858e-11,0,0
-166.5,89.5,0,0,1.27102089085943e-11,0,0
-165.5,89.5,0,0,1.26367117513797e-11,0,0
-164.5,89.5,0,0,1.2566610473403e-11,0,0
-163.5,89.5,0,0,1.25089640496021e-11,0,0
-162.5,89.5,0,0,1.24581060873069e-11,0,0
-161.5,89.5,0,0,1.24140354875273e-11,0,0
-160.5,89.5,0,0,1.23805020042955e-11,0,0
-159.5,89.5,0,0,1.23518810065634e-11,0,0
-158.5,89.5,0,0,1.23315200180066e-11,0,0
-157.5,89.5,0,0,1.23190629658508e-11,0,0
-156.5,89.5,0,0,1.23134350378321e-11,0,0
-155.5,89.5,0,0,1.23164286867137e-11,0,0
-154.5,89.5,0,0,1.23258492293762e-11,0,0
-153.5,89.5,0,0,1.2344335340917e-11,0,0
-152.5,89.5,0,0,1.23684471824961e-11,0,0
-151.5,89.5,0,0,1.24023367385023e-11,0,0
-150.5,89.5,0,0,1.24415410103642e-11,0,0
-149.5,89.5,0,0,1.24890052914016e-11,0,0
-148.5,89.5,0,0,1.25478111496996e-11,0,0
-147.5,89.5,0,0,1.26088490567783e-11,0,0
-146.5,89.5,0,0,1.26845771637835e-11,0,0
-145.5,89.5,0,0,1.27637000510364e-11,0,0
-144.5,89.5,0,0,1.28541205559483e-11,0,0
-143.5,89.5,0,0,1.2950969053631e-11,0,0
-142.5,89.5,0,0,1.30602306438679e-11,0,0
-141.5,89.5,0,0,1.31751190631332e-11,0,0
