lng,lat,bio_flux_opt,yymm
-85.5,82.5,0.01,"1501"
-71.5,82.5,0.04,"1501"
-70.5,82.5,0.56,"1501"
-69.5,82.5,0.63,"1501"
-68.5,82.5,1.18,"1501"
-67.5,82.5,1.37,"1501"
-66.5,82.5,0.98,"1501"
-65.5,82.5,0.11,"1501"
-92.5,81.5,0.07,"1501"
-90.5,81.5,0.08,"1501"
-89.5,81.5,0.49,"1501"
-88.5,81.5,0.19,"1501"
-87.5,81.5,0.65,"1501"
-86.5,81.5,0.54,"1501"
-85.5,81.5,0.97,"1501"
-84.5,81.5,0.49,"1501"
-82.5,81.5,0.41,"1501"
-81.5,81.5,0.51,"1501"
-80.5,81.5,0.33,"1501"
-79.5,81.5,0.18,"1501"
-78.5,81.5,0.41,"1501"
-77.5,81.5,0.05,"1501"
-76.5,81.5,0.03,"1501"
-75.5,81.5,0.06,"1501"
-74.5,81.5,0.06,"1501"
-71.5,81.5,0.07,"1501"
-70.5,81.5,0.35,"1501"
-69.5,81.5,0.5,"1501"
-68.5,81.5,0.42,"1501"
-67.5,81.5,0.31,"1501"
-65.5,81.5,0.02,"1501"
-96.5,80.5,0.05,"1501"
-95.5,80.5,0.1,"1501"
-94.5,80.5,0.01,"1501"
-93.5,80.5,0.1,"1501"
-92.5,80.5,0.56,"1501"
-91.5,80.5,1.02,"1501"
-90.5,80.5,1.14,"1501"
-89.5,80.5,1.19,"1501"
-88.5,80.5,1,"1501"
-87.5,80.5,2.62,"1501"
-86.5,80.5,1.46,"1501"
-85.5,80.5,2.36,"1501"
-84.5,80.5,3.24,"1501"
-83.5,80.5,2.91,"1501"
-82.5,80.5,3.57,"1501"
-81.5,80.5,2.54,"1501"
-80.5,80.5,0.87,"1501"
-79.5,80.5,0.3,"1501"
-78.5,80.5,0.04,"1501"
-77.5,80.5,0.04,"1501"
-70.5,80.5,0.02,"1501"
94.5,80.5,0.06,"1501"
-96.5,79.5,0.07,"1501"
-95.5,79.5,0.16,"1501"
-94.5,79.5,0.41,"1501"
-93.5,79.5,0.49,"1501"
-92.5,79.5,1.01,"1501"
-91.5,79.5,0.7,"1501"
-90.5,79.5,0.48,"1501"
-89.5,79.5,0.25,"1501"
-88.5,79.5,0.93,"1501"
-87.5,79.5,1.43,"1501"
-86.5,79.5,0.57,"1501"
-85.5,79.5,1.2,"1501"
-84.5,79.5,2.16,"1501"
-83.5,79.5,3.55,"1501"
-82.5,79.5,2.27,"1501"
-81.5,79.5,1.38,"1501"
-80.5,79.5,0.34,"1501"
-78.5,79.5,0.02,"1501"
-75.5,79.5,0.01,"1501"
-68.5,79.5,-0.06,"1501"
-67.5,79.5,-0.01,"1501"
10.5,79.5,0.02,"1501"
